,zip,city,name,alias,state,locale,address,dolflag,branches,ownership,main_campus,state_fips,religious_affiliation,tuition_revenue_per_fte,instructional_expenditure_per_fte,peps_ownership,faculty_salary,online_only
6001,334090000,West Palm Beach,Keiser University - Residential (Flagship),,FL,,,1,17,2,0,12,,,,Private Nonprofit,,
6002,338111249,Lakeland,Maynard A. Traviss Technical College - Central Florida Aerospace Academy,,FL,,,0,2,1,0,12,,,,Public,,
6003,330146720,Miami Lakes,Miami Lakes Educational Center and Technical College -,,FL,,,1,2,1,0,12,,,,Public,,
6004,33556,Odessa,Rasmussen University-Central Pasco,,FL,,,1,20,3,0,12,,,,Proprietary,,
6005,339057805,Fort Myers,Rasmussen University-Fort Myers,,FL,,,1,20,3,0,12,,,,Proprietary,,
6006,33511,Brandon,Rasmussen University-Tampa/Brandon,,FL,,,0,20,3,0,12,,,,Proprietary,,
6007,327143339,Altamonte Springs,Rasmussen University-North Orlando,,FL,,,0,20,3,0,12,,,,Proprietary,,
6008,30460,Statesboro,East Georgia State College - Statesboro,,GA,,,0,3,1,0,13,,,,Public,,
6009,309124562,Augusta,East Georgia State College - Augusta,,GA,,,0,3,1,0,13,,,,Public,,
6010,481704308,Plymouth,Moody Theological Seminary and Graduate School--Michigan,,MI,,,0,3,2,0,26,,,,Private Nonprofit,,
6011,992121451,Spokane,Moody Bible Institute - Spokane,,WA,,,0,3,2,0,53,,,,Private Nonprofit,,
6012,606161823,Chicago,Triton College - Intl Union of Operating Engr Local 399 Trning Fac.,,IL,,,1,2,1,0,17,,,,Public,,
6013,461121462,Brownsburg,PJ's College of Cosmetology- Brownsburg,,IN,,,0,3,3,0,18,,,,Proprietary,,
6014,471306290,Jeffersonville,PJ's College of Cosmetology- Jeffersonville,,IN,,,0,3,3,0,18,,,,Proprietary,,
6015,466013415,South Bend,Ivy Tech Community College-South Bend/Elkhart,,IN,,,0,19,1,0,18,,,,Public,,
6016,472031868,Columbus,Ivy Tech Community College-Columbus,,IN,,,0,19,1,0,18,,,,Public,,
6017,473029448,Muncie,Ivy Tech Community College-Muncie,,IN,,,0,19,1,0,18,,,,Public,,
6018,469011373,Kokomo,Ivy Tech Community College-Kokomo,,IN,,,0,19,1,0,18,,,,Public,,
6019,479051373,Lafayette,Ivy Tech Community College-Lafayette,,IN,,,0,19,1,0,18,,,,Public,,
6020,468051489,Fort Wayne,Ivy Tech Community College-Fort Wayne,,IN,,,0,19,1,0,18,,,,Public,,
6021,471721897,Sellersburg,Ivy Tech Community College-Sellersburg,,IN,,,0,19,1,0,18,,,,Public,,
6022,477103398,Evansville,Ivy Tech Community College-Evansville,,IN,,,0,19,1,0,18,,,,Public,,
6023,478024898,Terre Haute,Ivy Tech Community College-Terre Haute,,IN,,,0,19,1,0,18,,,,Public,,
6024,473741298,Richmond,Ivy Tech Community College-Richmond,,IN,,,0,19,1,0,18,,,,Public,,
6025,46312,East Chicago,Ivy Tech Community College-Lake County,,IN,,,0,19,1,0,18,,,,Public,,
6026,472501881,Madison,Ivy Tech Community College-Madison,,IN,,,0,19,1,0,18,,,,Public,,
6027,474049272,Bloomington,Ivy Tech Community College-Bloomington,,IN,,,0,19,1,0,18,,,,Public,,
6028,462089272,Indianapolis,Ivy Tech Community College-Indianapolis,,IN,,,1,19,1,0,18,,,,Public,,
6029,469530000,Marion,Ivy Tech Community College-Marion,,IN,,,0,19,1,0,18,,,,Public,,
6030,463832520,Valparaiso,Ivy Tech Community College-Valparaiso,,IN,,,0,19,1,0,18,,,,Public,,
6031,470251836,Lawrenceburg,Ivy Tech Community College-Lawrenceburg,,IN,,,0,19,1,0,18,,,,Public,,
6032,460600000,Noblesville,Ivy Tech Community College-Hamilton County,,IN,,,0,19,1,0,18,,,,Public,,
6033,460133413,Anderson,Ivy Tech Community College-Anderson,,IN,,,0,19,1,0,18,,,,Public,,
6034,606042535,Chicago,University of Notre Dame -,,IL,,,0,2,2,0,17,,,,Private Nonprofit,,
6035,640503434,Independence,Graceland University - Independence,,MO,,,1,3,2,0,29,,,,Private Nonprofit,,
6036,646831824,Trenton,Graceland University - Trenton,,MO,,,0,3,2,0,29,,,,Private Nonprofit,,
6037,666041353,Topeka,Baker University School of Nursing,,KS,,,0,2,2,0,20,,,,Private Nonprofit,,
6038,673377501,Coffeyville,Coffeyville Technical Campus,,KS,,,1,3,1,0,20,,,,Public,,
6039,667255064,Columbus,Columbus Technical Campus,,KS,,,0,3,1,0,20,,,,Public,,
6040,641361187,Kansas City,Old Town Barber College - KC,,MO,,,0,2,3,0,29,,,,Proprietary,,
6041,461403120,Greenfield,PJ's College of Cosmetology- Greenfield,,IN,,,0,6,3,0,18,,,,Proprietary,,
6042,473043120,Muncie,PJ's College of Cosmetology- Muncie,,IN,,,0,6,3,0,18,,,,Proprietary,,
6043,462033120,Indianapolis,PJ's College of Cosmetology- Indianapolis,,IN,,,0,6,3,0,18,,,,Proprietary,,
6044,461683120,Plainfield,PJ's College of Cosmetology- Plainfield,,IN,,,0,6,3,0,18,,,,Proprietary,,
6045,402333120,Louisville,PJ's College of Cosmetology- Louisville,,KY,,,0,6,3,0,21,,,,Proprietary,,
6046,708145322,Baton Rouge,Southeastern Louisiana University - EBR Parish School System Prof Dev,,LA,,,1,5,1,0,22,,,,Public,,
6047,707743413,St Amant,Southeastern Louisiana University - St Amant High School,,LA,,,1,5,1,0,22,,,,Public,,
6048,700474002,Destrehan,Southeastern Louisiana University - Destrahan High School,,LA,,,1,5,1,0,22,,,,Public,,
6049,700873616,St. Rose,Southeastern Louisiana University - Albert Cammon Middle School,,LA,,,1,5,1,0,22,,,,Public,,
6050,042946831,Wilton,Beal University,,ME,,,0,2,3,0,23,,,,Proprietary,,
6051,046541397,Machias,University of Maine - Machias,,ME,,,0,2,1,0,23,,,,Public,,
6052,04401,Bangor,Empire Beauty School-Bangor,,ME,,,1,8,3,0,23,,,,Proprietary,,
6053,042600000,New Gloucester,Unity Environmental University,,ME,,,0,3,2,0,23,,,,Private Nonprofit,,
6054,049885101,Unity,Unity Environmental University - Unity,,ME,,,0,3,2,0,23,,,,Private Nonprofit,,
6055,496019600,Cadillac,Baker College of Cadillac,,MI,,,1,5,2,0,26,,,,Private Nonprofit,,
6056,492021290,Jackson,Baker College of Jackson,,MI,,,1,5,2,0,26,,,,Private Nonprofit,,
6057,494421290,Muskegon,Baker College of Muskegon,,MI,,,1,5,2,0,26,,,,Private Nonprofit,,
6058,480672503,Royal Oak,Baker College - Royal Oak Campus,,MI,,,1,5,2,0,26,,,,Private Nonprofit,,
6059,488469571,Ionia,Calvin University - Handlon Campus,,MI,,,0,2,2,0,26,,,,Private Nonprofit,,
6060,480925209,Warren,Davenport University-Warren Location,,MI,,,1,8,2,0,26,,,,Private Nonprofit,,
6061,490034070,Kalamazoo,Davenport University-Kalamazoo Location,,MI,,,1,8,2,0,26,,,,Private Nonprofit,,
6062,489332197,Lansing,Davenport University-Lansing Location,,MI,,,1,8,2,0,26,,,,Private Nonprofit,,
6063,486423799,Midland,Davenport University-Midland Location,,MI,,,1,8,2,0,26,,,,Private Nonprofit,,
6064,496849121,Traverse City,Davenport University-Traverse City Location,,MI,,,1,8,2,0,26,,,,Private Nonprofit,,
6065,481111404,Belleville,Davenport University - Wayne CCCD,,MI,,,1,8,2,0,26,,,,Private Nonprofit,,
6066,482023046,Detroit,Davenport University - Detroit,,MI,,,1,8,2,0,26,,,,Private Nonprofit,,
6067,550085704,Cambridge,Anoka-Ramsey Community College-Cambridge Campus,,MN,,,1,2,1,0,27,,,,Public,,
6068,564793252,Staples,Central Lakes College-Staples Campus,,MN,,,0,2,1,0,27,,,,Public,,
6069,565012698,Detroit Lakes,M State - Detroit Lakes Campus,,MN,,,1,4,1,0,27,,,,Public,,
6070,565604899,Moorhead,M State - Moorhead Campus,,MN,,,1,4,1,0,27,,,,Public,,
6071,564820566,Wadena,M State - Wadena Campus,,MN,,,1,4,1,0,27,,,,Public,,
6072,55744,Grand Rapids,Minnesota North College - Itasca,,MN,,,0,6,1,0,27,,,,Public,,
6073,55792,Virginia,Minnesota North College - Mesabi Range Virginia,,MN,,,0,6,1,0,27,,,,Public,,
6074,55734,Eveleth,Minnesota North College - Mesabi Range Eveleth,,MN,,,0,6,1,0,27,,,,Public,,
6075,56649,International Falls,Minnesota North College - Rainy River,,MN,,,0,6,1,0,27,,,,Public,,
6076,557311900,Ely,Minnesota North College - Vermilion,,MN,,,0,6,1,0,27,,,,Public,,
6077,550215782,Faribault,South Central College-Faribault,,MN,,,1,2,1,0,27,,,,Public,,
6078,32224,Jacksonville,Mayo Clinic College of Medicine and Science - Florida,,FL,,,0,3,2,0,12,,,,Private Nonprofit,,
6079,85259,Scottsdale,Mayo Clinic College of Medicine and Science - Arizona,,AZ,,,0,3,2,0,4,,,,Private Nonprofit,,
6080,56721,East Grand Forks,Northland Community and Technical College - East Grand Forks,,MN,,,1,2,1,0,27,,,,Public,,
6081,554355444,Bloomington,Rasmussen University-Bloomington,,MN,,,0,20,3,0,27,,,,Proprietary,,
6082,55121,Eagan,Rasmussen University-Eagan,,MN,,,0,20,3,0,27,,,,Proprietary,,
6083,560015476,Mankato,Rasmussen University-Mankato,,MN,,,0,20,3,0,27,,,,Proprietary,,
6084,550428624,Lake Elmo,Rasmussen University-Lake Elmo/Woodbury,,MN,,,0,20,3,0,27,,,,Proprietary,,
6085,55443,Brooklyn Park,Rasmussen University-Hennepin/Anoka,,MN,,,0,20,3,0,27,,,,Proprietary,,
6086,55066,Red Wing,Minnesota State CollegeSoutheast-Red Wing Campus,,MN,,,0,2,1,0,27,,,,Public,,
6087,39114,Mendenhall,Copiah-Lincoln Community College Simpson County Center,,MS,,,0,3,1,0,28,,,,Public,,
6088,39120,Natchez,Copiah-Lincoln Community College-Natchez Campus,,MS,,,0,3,1,0,28,,,,Public,,
6089,392164505,Jackson,University of Mississippi Medical Center,,MS,,,0,2,1,0,28,,,,Public,,
6090,39401,Hattiesburg,Pearl River Community College-Forrest County Campus,,MS,,,0,3,1,0,28,,,,Public,,
6091,395560000,Kiln,Pearl River Community College - Hancock Workforce Academy Hangar,,MS,,,0,3,1,0,28,,,,Public,,
6092,358985192,Redstone Arsenal,Columbia College - Redstone Arsenal,,AL,,,1,36,2,0,1,,,,Private Nonprofit,,
6093,322120137,Jacksonville,Columbia College - NAS Jacksonville,,FL,,,1,36,2,0,12,,,,Private Nonprofit,,
6094,328042606,Orlando,Columbia College - Orlando,,FL,,,1,36,2,0,12,,,,Private Nonprofit,,
6095,600123709,Crystal Lake,Columbia College - Crystal Lake Campus,,IL,,,1,36,2,0,17,,,,Private Nonprofit,,
6096,641331707,Kansas City,Columbia College - Kansas City,,MO,,,0,36,2,0,29,,,,Private Nonprofit,,
6097,654731707,Fort Leonard Wood,Columbia College - Fort Leonard Wood,,MO,,,0,36,2,0,29,,,,Private Nonprofit,,
6098,651096877,Jefferson City,Columbia College - Jefferson City,,MO,,,0,36,2,0,29,,,,Private Nonprofit,,
6099,650659677,Osage Beach,Columbia College - Lake Ozark,,MO,,,0,36,2,0,29,,,,Private Nonprofit,,
6100,631343701,Saint Louis,Columbia College - Saint Louis,,MO,,,1,36,2,0,29,,,,Private Nonprofit,,
6101,761271188,Fort Worth,Columbia College - Fort Worth,,TX,,,1,36,2,0,48,,,,Private Nonprofit,,
6102,841075322,Murray,Columbia College - Salt Lake,,UT,,,0,36,2,0,49,,,,Private Nonprofit,,
6103,600319184,Gurnee,Columbia College - Lake County,,IL,,,1,36,2,0,17,,,,Private Nonprofit,,
6104,982717854,Marysville,Columbia College - Naval Station Everett/Marysville,,WA,,,0,36,2,0,53,,,,Private Nonprofit,,
6105,610329341,Freeport,Columbia College - Freeport,,IL,,,0,36,2,0,17,,,,Private Nonprofit,,
6106,658044378,Springfield,Columbia College - Springfield,,MO,,,0,36,2,0,29,,,,Private Nonprofit,,
6107,654011701,Rolla,Columbia College - Rolla,,MO,,,0,36,2,0,29,,,,Private Nonprofit,,
6108,907205177,Los Alamitos,Columbia College - Los Alamitos,,CA,,,1,36,2,0,6,,,,Private Nonprofit,,
6109,313145056,Ft. Stewart,Columbia College - Fort Stewart,,GA,,,1,36,2,0,13,,,,Private Nonprofit,,
6110,314090029,Hunter Army Airfield,Columbia College - Hunter Army Airfield,,GA,,,1,36,2,0,13,,,,Private Nonprofit,,
6111,601237193,Elgin,Columbia College - Elgin,,IL,,,1,36,2,0,17,,,,Private Nonprofit,,
6112,982781000,Oak Harbor,Columbia College - Whidbey Island,,WA,,,1,36,2,0,53,,,,Private Nonprofit,,
6113,735039009,Fort Sill,Columbia College - Fort Sill,,OK,,,1,36,2,0,40,,,,Private Nonprofit,,
6114,921405290,San Diego,Columbia College - San Diego,,CA,,,1,36,2,0,6,,,,Private Nonprofit,,
6115,75150,Mesquite,Columbia College - Mesquite,,TX,,,1,36,2,0,48,,,,Private Nonprofit,,
6116,655833449,Waynesville,Columbia College - Waynesville,,MO,,,0,36,2,0,29,,,,Private Nonprofit,,
6117,921365588,San Diego,Columbia College - Naval Base San Diego,,CA,,,1,36,2,0,6,,,,Private Nonprofit,,
6118,922510158,Imperial,Columbia College - Imperial,,CA,,,0,36,2,0,6,,,,Private Nonprofit,,
6119,315472532,Kings Bay,Columbia College - NSB Kings Bay,,GA,,,1,36,2,0,13,,,,Private Nonprofit,,
6120,65803,Springfield,Columbia College - Springfield TMobile,,MO,,,0,36,2,0,29,,,,Private Nonprofit,,
6121,75217,Dallas,Columbia College - Eastfield Pleasant Grove,,TX,,,0,36,2,0,48,,,,Private Nonprofit,,
6122,65473,Fort Leonard Wood,Columbia College - Fort Leonard Wood 58th Trans BN,,MO,,,0,36,2,0,29,,,,Private Nonprofit,,
6123,968194398,Honolulu,Columbia College - USCG Base Honolulu,,HI,,,0,36,2,0,15,,,,Private Nonprofit,,
6124,327786100,Tavares,Columbia College - Tavares PD,,FL,,,0,36,2,0,12,,,,Private Nonprofit,,
6125,800119032,Aurora,Columbia College - Denver,,CO,,,0,36,2,0,8,,,,Private Nonprofit,,
6126,653055411,Whiteman AFB,Columbia College - Whiteman AFB,,MO,,,0,36,2,0,29,,,,Private Nonprofit,,
6127,648041598,Joplin,Kansas City University-Joplin,,MO,,,0,2,2,0,29,,,,Private Nonprofit,,
6128,591029856,Billings,City College Montana State University Billings,,MT,,,0,2,1,0,30,,,,Public,,
6129,04040,Harrison,New Hampshire Institute for Therapeutic Arts,,ME,,,1,2,3,0,23,,,,Proprietary,,
6130,070112379,Clifton,American Institute,,NJ,,,0,6,3,0,34,,,,Proprietary,,
6131,077641898,West Long Branch,Monmouth University -  Monmouth Park Corporate Center,,NJ,,,0,2,2,0,34,,,,Private Nonprofit,,
6132,010403927,Holyoke,Bard College - Holyoke Microcollege,,MA,,,0,15,2,0,25,,,,Private Nonprofit,,
6133,120510200,Coxsackie,Bard College - Coxsackie Correctional Facility,,NY,,,0,15,2,0,36,,,,Private Nonprofit,,
6134,124580338,Napanoch,Bard College - Eastern NY Correctional Facility,,NY,,,0,15,2,0,36,,,,Private Nonprofit,,
6135,125080307,Beacon,Bard College - Fishkill Correctional Facility,,NY,,,0,15,2,0,36,,,,Private Nonprofit,,
6136,125820010,Stormville,Bard College - Green Haven Correctional Facility,,NY,,,0,15,2,0,36,,,,Private Nonprofit,,
6137,105072497,Bedford Hill,Bard College - Taconic Correctional Facility,,NY,,,0,15,2,0,36,,,,Private Nonprofit,,
6138,127881000,Woodbourne,Bard College - Woodbourne Correctional Facility,,NY,,,0,15,2,0,36,,,,Private Nonprofit,,
6139,071032639,Newark,Bard College - BHSEC Newark,,NJ,,,0,15,2,0,34,,,,Private Nonprofit,,
6140,112385619,Brooklyn,Bard College - Brooklyn Public Library,,NY,,,0,15,2,0,36,,,,Private Nonprofit,,
6141,100302601,New York,Bard College - New York Public Library Countee Cullen Branch,,NY,,,0,15,2,0,36,,,,Private Nonprofit,,
6142,100183614,New York,Bard College - Bard Globalization and International Affairs Program,,NY,,,0,15,2,0,36,,,,Private Nonprofit,,
6143,144119399,Albion,Bard College - Albion Correctional Facility,,NY,,,0,15,2,0,36,,,,Private Nonprofit,,
6144,132032502,Syracuse,Bryant & Stratton College-Syracuse,,NY,,,1,17,2,0,36,,,,Private Nonprofit,,
6145,14068,Getzville,Bryant & Stratton College-Amherst,,NY,,,1,17,2,0,36,,,,Private Nonprofit,,
6146,14127,Orchard Park,Bryant & Stratton College-Southtowns,,NY,,,1,17,2,0,36,,,,Private Nonprofit,,
6147,14623,Rochester,Bryant & Stratton College-Henrietta,,NY,,,0,17,2,0,36,,,,Private Nonprofit,,
6148,12308,Schenectady,Clarkson University Capital Region Campus,,NY,,,1,2,2,0,36,,,,Private Nonprofit,,
6149,94574,St. Helena,Culinary Institute of America at Greystone,,CA,,,0,3,2,0,6,,,,Private Nonprofit,,
6150,78215,San Antonio,Culinary Institute of America San Antonio,,TX,,,0,3,2,0,48,,,,Private Nonprofit,,
6151,112051202,Brooklyn,CUNY Brooklyn College - Feirstein Graduate School of Cinema,,NY,,,0,2,1,0,36,,,,Public,,
6152,147799740,Salamanca,Jamestown Business College -,,NY,,,1,2,3,0,36,,,,Proprietary,,
6153,838548881,Post Falls,NYSMedical&Dental Assistants - American Institute of Clinical Massage,,ID,,,0,2,3,0,16,,,,Proprietary,,
6154,10011,New York,Pratt Manhattan-A Division of Pratt Institute,,NY,,,0,2,2,0,36,,,,Private Nonprofit,,
6155,11418,Richmond Hill,Rabbinical Seminary of America-Ma'yan HaTorah,,NY,,,0,2,2,0,36,,,,Private Nonprofit,,
6156,103014496,Staten Island,Saint John's University - Staten Island Campus,,NY,,,0,2,2,0,36,,,,Private Nonprofit,,
6157,280341499,Dallas,Gaston College,,NC,,,1,2,1,0,37,,,,Public,,
6158,278560000,Nashville,Southeastern Baptist Theological Seminary-Nash County Extension Center,,NC,,,0,3,2,0,37,,,,Private Nonprofit,,
6159,276103846,Raleigh,Southeastern Baptist Theological Seminary-Wake County Extension Center,,NC,,,0,3,2,0,37,,,,Private Nonprofit,,
6160,274072754,Greensboro,Winston - Salem Barber School - Satellite,,NC,,,0,2,3,0,37,,,,Proprietary,,
6161,443212798,Copley,Bryant & Stratton College-Akron,,OH,,,0,17,2,0,39,,,,Private Nonprofit,,
6162,441392798,Solon,Bryant & Stratton College-Solon,,OH,,,0,17,2,0,39,,,,Private Nonprofit,,
6163,432159998,Columbus,Adult & Community Education Columbus City Schools - Fort Hayes Career,,OH,,,0,2,1,0,39,,,,Public,,
6164,452203796,Cincinnati,Hebrew Union College-Jewish Institute of Religion-Cincinnati,,OH,,,0,3,2,0,39,,,,Private Nonprofit,,
6165,900073796,Los Angeles,Hebrew Union College-Jewish Institute of Religion-Los Angeles,,CA,,,0,3,2,0,6,,,,Private Nonprofit,,
6166,454403442,Beavercreek,Kettering College - Ollie Davis Medical Arts and Education Center,,OH,,,1,2,2,0,39,,,,Private Nonprofit,,
6167,431303372,Lancaster,Mount Carmel College of Nursing - Fairfield,,OH,,,1,2,2,0,39,,,,Private Nonprofit,,
6168,974709490,Roseburg,Bushnell University - Roseburg Campus,,OR,,,0,2,2,0,41,,,,Private Nonprofit,,
6169,95120,San Jose,Western Seminary-San Jose,,CA,,,0,3,2,0,6,,,,Private Nonprofit,,
6170,95678,Roseville,Western Seminary-Sacramento,,CA,,,0,3,2,0,6,,,,Private Nonprofit,,
6171,19115,Philadelphia,The Beauty Institute,,PA,,,0,2,3,0,42,,,,Proprietary,,
6172,189440277,Perkasie,Bucks County Community College-Upper Bucks Campus,,PA,,,0,3,1,0,42,,,,Public,,
6173,190070277,Bristol,Bucks County Community College-Gene and Marlene Epstein Campus at Lower Bucks,,PA,,,0,3,1,0,42,,,,Public,,
6174,176023403,Lancaster,Harrisburg Area Community College-Lancaster,,PA,,,0,5,1,0,42,,,,Public,,
6175,173253403,Gettysburg,Harrisburg Area Community College-Gettysburg,,PA,,,0,5,1,0,42,,,,Public,,
6176,170425235,Lebanon,Harrisburg Area Community College-Lebanon,,PA,,,0,5,1,0,42,,,,Public,,
6177,174045235,York,Harrisburg Area Community College-York,,PA,,,0,5,1,0,42,,,,Public,,
6178,165031524,Erie,UPMC Jameson School of Nursing - UPMC Hamot,,PA,,,0,2,2,0,42,,,,Private Nonprofit,,
6179,161432522,Pulaski,New Castle School of Trades,,PA,,,1,3,3,0,42,,,,Proprietary,,
6180,439203025,East Liverpool,New Castle School of Trades - East Liverpool Campus,,OH,,,0,3,3,0,39,,,,Proprietary,,
6181,18372,Tannersville,Northampton County Area Community College-Monroe,,PA,,,0,2,1,0,42,,,,Public,,
6182,171012225,Harrisburg,UPMC Shadyside - at UPMC Harrisburg,,PA,,,0,2,2,0,42,,,,Private Nonprofit,,
6183,16602,Altoona,South Hills School of Business and Technology-Altoona,,PA,,,1,2,3,0,42,,,,Proprietary,,
6184,377663006,LaFollette,Tennessee College of Applied Technology-Jacksboro,,TN,,,0,2,1,0,47,,,,Public,,
6185,288030000,Asheville,South College-Asheville,,NC,,,0,6,3,0,37,,,,Proprietary,,
